Country Name,Indicator Name,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Australia,Imports of goods and services (% of GDP),22.082173332428,20.7337236156046,21.1552596630846,19.857923623816,20.9480542227162,21.7207058936594,21.8393360556619,22.7070617638254,22.733121851861,20.7210488820314,20.4051316868337,21.6673910261196,21.2891913949774,21.3753685262765,21.5550374082505,21.550576819355,20.7201613801918,21.5161440003039,21.675186593329,20.2251510630871
Austria,Imports of goods and services (% of GDP),42.9191092459869,41.6287818010806,41.8169676971425,43.9251307189084,45.4140534786122,47.2466423435202,48.172384639555,48.8248221152974,41.8548144134358,47.7576359096203,51.154117778086,51.1785012313079,50.625120789651,50.1169562048263,49.3382548303838,48.5756846289351,50.8876917912507,52.4614203877556,52.128791145464,48.6108163058355
Belgium,Imports of goods and services (% of GDP),67.964880914325,65.2538517924041,63.679044325004,66.0121279012141,70.2462217485879,72.7625122442923,74.1666421724765,80.2078278152436,66.5720368236699,74.14760859514,80.7963607521708,80.3415397228249,78.5264966401955,78.9822068454526,76.3872643576431,78.2354105104266,82.1434260996683,83.4151576304182,81.7690500946256,77.7337975074996
Canada,Imports of goods and services (% of GDP),36.3042633034376,35.6483734848415,32.9741094185099,32.864648684908,32.9024256932286,32.6497052601475,32.0538645842577,32.6286028098296,29.9585575059154,31.0407395714164,31.8203468535221,32.2425234169127,31.8991362329537,32.6420862831515,34.3149411035338,33.8611121122194,33.6466506994867,34.2744821243903,33.8187894602395,31.9210782008806
France,Imports of goods and services (% of GDP),26.6934728903914,25.5409745004028,24.6858645485955,25.4561715567725,26.947655734595,28.16836935943,28.5674990728149,29.2776980294924,25.6269036398058,28.0794912416196,30.369238945981,30.499031981938,30.3993172078638,30.8121120215465,31.1590715564548,30.852605198715,32.0132141063066,32.7242853866575,32.549417775836,29.4135952484106
Germany,Imports of goods and services (% of GDP),30.2181317720272,28.3423107018725,29.0376067680426,30.5128352456553,32.8591405884692,36.0168212387006,36.5516592986738,37.7256144732553,33.1088059597748,37.3031508345032,40.148984986412,40.2069347359679,39.6601988368577,39.0008300796262,39.3254862566007,38.6963831131131,40.0741622693716,41.2110119003402,41.0167968997426,37.3851760276969
"Hong Kong, China",Imports of goods and services (% of GDP),118.07928292341,123.919694205301,141.678675928188,159.065157420675,165.236292821103,174.023498171751,175.737056233629,183.24162936526,170.262498907636,199.447963556362,209.002290080282,214.71896493916,221.009958822525,212.885458218013,193.508347649149,184.722102884528,187.893267098083,188.553266542735,176.092205965367,174.375222597563
Ireland,Imports of goods and services (% of GDP),79.6163499312396,73.269877252658,65.6909092155543,66.1119457281796,68.6478884147673,70.9871284806495,72.5600686369384,75.7061617285325,80.0353254491411,86.6825560936544,84.5864705399851,87.029948019712,85.2336280146594,92.1227692835225,93.333745766542,106.042332931575,98.9870968481211,94.2914168801679,124.369852034006,114.428561007685
Israel,Imports of goods and services (% of GDP),32.7224665685867,34.6737153111774,34.2210872990312,37.7899661895852,39.6214728806267,39.455656577766,40.2431134253197,38.3287296823781,30.0557943344633,32.2817473560596,34.8970775888715,35.42222356895,31.4074330316471,30.2902296429207,28.0410510889648,28.0890266646028,27.3181280592463,29.0210438235117,27.0479404528965,23.2076915737833
Japan,Imports of goods and services (% of GDP),9.48280450872269,9.5916764589296,9.86032369115249,10.8780887981112,12.4140588557406,14.3590020520575,15.5274506811561,16.8939331648175,11.9706007858756,13.5799692441961,15.4204984672798,16.0561363041928,18.1946119190738,20.0127792201784,17.990648516827,15.2522776095286,16.831774467385,18.2949862035848,17.7528916808924,15.8185464782378
"Korea, Rep.",Imports of goods and services (% of GDP),30.4360561697363,28.5802849932838,29.7767640156921,33.2613784169595,33.0417282278992,35.0254549142976,36.4823455972789,47.8744672251696,40.9482674584271,44.2958595844342,52.2285816810148,51.3642764025061,46.6600338441855,42.7830210318588,36.142932861381,33.4711585544775,36.1867108656532,37.2755746703469,36.4812778978581,32.6744545418102
Netherlands,Imports of goods and services (% of GDP),56.740357059108,53.3089753899632,52.6358690353152,54.9343833012776,57.1745724591247,59.5910330410267,61.6824135536282,61.2662585483886,54.6525361611415,61.718401657105,66.9687049767897,69.765041365094,69.6688535163968,69.4758472809578,75.1576793312541,69.3234999724707,72.6364431968743,74.1397465332105,72.7329639446286,68.1963014575722
Norway,Imports of goods and services (% of GDP),28.1731503253957,27.0481317269179,26.6484411318303,27.561806430542,27.0273910798849,27.1226062095286,28.9844731786724,28.5671790354044,27.6541657375953,28.0891902856851,27.9374674591422,27.2114879845743,28.11148305928,29.4097051783555,31.8566678050453,33.1786709712824,32.3765167676115,31.7821685011468,34.2548952066717,33.1436412615645
Singapore,Imports of goods and services (% of GDP),166.397924985207,165.659895919145,174.632357911778,187.572017095863,195.270845183643,197.325782481957,181.509078187707,208.332943955938,167.347876817714,171.686594994619,175.770922728001,172.493352911906,171.963983710876,168.513783378732,151.08679044058,138.464501910019,144.912950355259,147.846922142656,146.109059926157,150.785223444906
Sweden,Imports of goods and services (% of GDP),37.6675449559078,35.9715602601049,34.9198886945354,35.9005071737132,38.7359970795797,40.7079804771039,41.5518218655185,43.4772275092146,38.0548772330147,39.5695242391316,40.5198362082725,40.2547256461647,38.2888561427337,39.6673704457852,39.957046992468,39.6291668167222,41.2000275021437,43.4481368827908,43.6246180157354,39.3637003432345
Switzerland,Imports of goods and services (% of GDP),45.8371414069759,43.2222096993316,42.6147776748653,44.2171091602357,48.4069981103808,49.6359695603829,51.7790432182933,53.6486814547979,51.7663155605071,55.2274952612351,59.1063495101378,58.6764874108381,61.6254947939219,54.8761532535459,53.3095264649732,56.7481985878047,57.2733173133041,56.950318222608,57.1622185006251,57.8586240138035
Turkey,Imports of goods and services (% of GDP),22.6895332634566,22.8772750323154,23.2189197311388,25.2010849398704,24.2660894922529,26.3680371283665,25.9612910545714,26.9819629689095,23.4168678008097,25.500331910756,30.3104743820065,28.4699271358616,28.7342892947321,28.560759468849,26.557266261846,25.244677102771,29.7227464055755,31.4014913972396,30.1615273793078,32.2228040644612
United Arab Emirates,Imports of goods and services (% of GDP),40.7053546013305,43.5683114306968,46.3769702756087,53.0548827099662,51.9675602523703,50.8428719062721,64.4140553654625,69.6456553241827,73.8086264961866,61.6350894338384,61.5893776215917,62.3355072418794,63.0928963679193,67.1057131201116,71.9130486276005,73.2399666737917,74.4610327833186,65.925796265564,70.7193961702784,70.6453007391305
